MSFT,KO,DD,XOM,GE,IBM
-0.08427,-0.038618,0.024722,-0.07781,-0.046129,-0.009158
-0.162273,-0.009153,0.036521,0.011111,-0.054016,0.066754
0.043386,0.047725,0.007324,-0.027928,0.116777,0.011242
0.004933,-0.032857,0.04598,0.100378,-0.116455,0.048289
-0.003156,-0.027348,-0.012063,-0.042011,-0.060551,0.076471
-0.028602,-0.085575,-0.10478,-0.007098,-0.121094,-0.084215
-0.065067,-0.009234,0.02145,-0.087371,0.059948,0.079727
0.065319,0.011068,0.023739,-0.000249,-0.006716,-0.044929
-0.021986,0.022854,-0.093159,-0.029371,-0.081495,-0.039185
-0.163357,-0.166793,-0.204963,-0.045583,-0.234902,-0.205113
-0.08867,0.072401,-0.205056,0.086751,-0.119939,-0.116919
-0.038576,-0.034137,0.009577,-0.003993,-0.038439,0.031373
-0.12037,-0.056329,-0.09249,-0.041964,-0.251235,0.088997
-0.047953,-0.043773,-0.16507,-0.106956,-0.272877,0.009602
0.137461,0.085924,0.190298,0.002945,0.188014,0.052809
0.102885,-0.020478,0.24944,-0.020999,0.251236,0.065229
0.037512,0.141928,0.035125,0.046498,0.065613,0.035074
0.137865,-0.01546,-0.100105,0.008075,-0.123145,-0.017501
-0.010517,0.03855,0.20726,0.006866,0.143345,0.129381
0.053571,-0.021469,0.045587,-0.011649,0.037313,0.005681
0.043408,0.109494,0.006577,-0.007809,0.188489,0.013215
0.078149,-0.007263,-0.009956,0.0446,-0.131547,0.008361
0.065272,0.08066,0.099623,0.0533,0.123422,0.052152
0.036382,-0.003497,-0.026316,-0.091648,-0.049313,0.036011
-0.075459,-0.048246,-0.031482,-0.05514,0.062789,-0.065011
0.022001,-0.028203,0.046611,0.015366,0.004975,0.043468
0.021538,0.051593,0.104389,0.030462,0.13325,0.008572
0.042595,-0.028182,0.069817,0.011794,0.036264,0.005848
-0.150811,-0.038354,-0.081827,-0.101372,-0.133086,-0.023953
-0.10814,-0.016342,-0.043683,-0.05607,-0.111927,-0.01421
0.121686,0.099561,0.175773,0.045733,0.117892,0.039844
-0.085819,0.014017,0.01254,-0.002178,-0.101737,-0.035981
0.043682,0.055071,0.094432,0.045339,0.130525,0.089418
0.088812,0.047847,0.059615,0.076064,-0.014154,0.070523
-0.046784,0.037345,0.002538,0.05279,-0.01186,-0.010376
0.105018,0.041159,0.061502,0.051179,0.164245,0.037466
-0.006628,-0.044397,0.016038,0.103392,0.101148,0.103843
-0.035528,0.017025,0.090766,0.065568,0.04568,0.003272
-0.044771,0.045213,0.001823,-0.016369,-0.041587,0.007351
0.020874,0.016883,0.033109,0.045763,0.01995,0.046054
-0.028935,-0.009635,-0.054235,-0.04592,-0.039609,-0.005276
0.039584,0.014219,0.014071,-0.025039,-0.032077,0.015509
0.053846,0.0107,-0.048659,-0.019538,-0.050371,0.060041
-0.023358,0.035877,-0.053287,-0.066424,-0.089336,-0.050536
-0.064286,-0.034351,-0.171949,-0.018779,-0.057633,0.017218
0.069908,0.011249,0.202652,0.075176,0.097897,0.055813
-0.031919,-0.009075,0.001248,0.036112,-0.047875,0.022315
0.014855,0.040756,-0.040654,0.053705,0.136392,-0.021915
0.137519,-0.034872,0.111621,-0.012034,0.044668,0.047422
0.081612,0.034503,0.007271,0.038572,0.027258,0.025337
0.016226,0.066705,0.040315,0.002659,0.053543,0.060591
-0.007441,0.031212,0.010586,-0.004497,-0.024415,-0.007525
-0.081993,-0.020833,-0.089226,-0.082696,-0.025026,-0.064371
0.047962,0.053125,0.047866,0.088262,0.100576,0.013893
-0.036613,0.03338,-0.017204,0.014958,-0.004319,0.002045
0.052596,-0.074257,0.009658,0.011744,-0.001928,-0.001429
-0.034393,0.020989,0.010452,0.047537,0.10478,0.064665
-0.040995,-0.019773,-0.114382,-0.003062,-0.072655,-0.06228
-0.05939,0.026762,-0.021339,-0.026983,0.003324,-0.018558
0.003558,-0.04404,0.042617,-0.018039,0.002366,0.007787
